topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,timepoint
0.06974918,0.07711186,0.08643793,0.08741962,0.08692878,0.06533157,0.060423106,0.099690765,0.080056936,0.06974918,0.072203405,0.068276644,0.07662102,0
0.056959607,0.09561229,0.07394979,0.081170626,0.06842799,0.07055176,0.090939984,0.084568664,0.07904685,0.07394979,0.07097651,0.081595376,0.072250776,1
0.078873426,0.07476187,0.06996505,0.078188166,0.079558685,0.07544713,0.093263894,0.08024395,0.06585349,0.08504077,0.079558685,0.07613239,0.063112445,2
0.06579812,0.087910116,0.06759098,0.07476244,0.071176715,0.077750556,0.102253035,0.07655531,0.07296958,0.06759098,0.06998147,0.07655531,0.08910536,3
0.062603794,0.06453482,0.06762446,0.093886375,0.05912795,0.070327885,0.06839687,0.07534855,0.10778975,0.08191403,0.08036921,0.08075542,0.0873209,4
0.07261521,0.077621,0.07417952,0.08669399,0.067296565,0.07230235,0.07949817,0.092638366,0.08700685,0.07136376,0.074805245,0.07449238,0.069486596,5
0.083109915,0.06676257,0.07591708,0.09684169,0.06741646,0.08049434,0.07330151,0.08768718,0.086379394,0.06676257,0.059569735,0.086379394,0.069378145,6
0.06514144,0.079021685,0.07088499,0.09864548,0.065620065,0.10821807,0.06992773,0.06753458,0.076628536,0.07232087,0.065620065,0.079021685,0.081414826,7
0.08186728,0.06331379,0.078885466,0.08948746,0.05933804,0.077228904,0.075903654,0.09180665,0.0636451,0.08716828,0.07259053,0.07921678,0.07954809,8
0.08210964,0.06718546,0.066652454,0.12768169,0.06531994,0.07598007,0.07624657,0.09197026,0.06372092,0.06531994,0.08317565,0.070650004,0.06398742,9
0.083461404,0.0746793,0.07436565,0.088793404,0.059310604,0.078756705,0.079384,0.07217012,0.06809271,0.08063859,0.073111065,0.08032494,0.08691152,10
0.08691631,0.058955114,0.07056977,0.105843894,0.088206835,0.06798873,0.04303874,0.052932702,0.058309857,0.15423827,0.07981847,0.076377094,0.056804255,11
0.07775874,0.07631027,0.06689521,0.08644956,0.092484854,0.082104154,0.072206266,0.06834368,0.07196485,0.074378975,0.06786086,0.08282839,0.080414265,12
0.081227124,0.058206644,0.06747878,0.05341071,0.13334292,0.119914316,0.057247456,0.10456733,0.04973383,0.066519596,0.072274715,0.06779851,0.068278104,13
0.032823656,0.035258837,0.03743768,0.03307999,0.07652871,0.032567322,0.030132143,0.5492099,0.031926487,0.022826605,0.04077003,0.029875807,0.0475629,14
0.06166043,0.07829054,0.05678609,0.10395252,0.07642682,0.073129475,0.068541855,0.07484983,0.074993186,0.055639185,0.09578083,0.08445515,0.0954941,15
0.07512335,0.09326416,0.06495092,0.063594595,0.057999767,0.11123544,0.076649204,0.08156588,0.054778498,0.061729655,0.082922205,0.09987623,0.07631013,16
0.07887375,0.081655025,0.06938469,0.08705397,0.08198223,0.070529915,0.06774864,0.086399555,0.05515109,0.05760516,0.12648267,0.0734748,0.06365853,17
0.05635248,0.09443083,0.0773912,0.09477857,0.089910105,0.11007946,0.06974076,0.085563265,0.06400292,0.09182271,0.058960587,0.049745277,0.05722185,18
0.08026345,0.10428573,0.08725895,0.07617175,0.103229806,0.08910682,0.05967293,0.06693241,0.07762364,0.05967293,0.05716511,0.056769136,0.08184734,19
0.01834248,0.02010505,0.014582329,0.016109891,0.021515107,0.01834248,0.019400023,0.014229815,0.77718765,0.015757378,0.026685312,0.01704993,0.020692574,20
0.099723436,0.04887577,0.07405157,0.06933886,0.07367951,0.069586895,0.050488014,0.04800764,0.10307194,0.04217876,0.10059157,0.06400605,0.15639998,21
0.048911024,0.035953715,0.052967224,0.035277683,0.1285703,0.09341656,0.04665758,0.043502755,0.042488705,0.039446555,0.2877762,0.045756202,0.099275514,22
0.10564025,0.04908333,0.055143,0.051340852,0.057281706,0.11419507,0.037082806,0.041597854,0.06951986,0.06999513,0.09958058,0.06666825,0.18287134,23
0.10297027,0.08331128,0.05306668,0.082933225,0.09024233,0.06982723,0.06718082,0.07385984,0.068819076,0.08595768,0.04789989,0.07348178,0.10044989,24
0.0018987969,0.0007289221,0.0038785848,0.0018987969,0.0036086137,0.0020787776,0.0023487487,0.0023487487,0.0013588547,0.0012688643,0.0027087103,0.0019887872,0.97388476,25
0.054475974,0.032898758,0.07371349,0.05265621,0.028479328,0.050836444,0.035888374,0.030689042,0.04212757,0.034848507,0.044337284,0.065394565,0.4536545,26
0.0028070814,0.0034370995,0.0029470853,0.0054671587,0.0011970347,0.0027370793,0.004417128,0.0025970752,0.003997116,0.0019670571,0.9623949,0.0030870894,0.0029470853,27
0.05235064,0.09430592,0.050585195,0.07187438,0.068655044,0.059516266,0.07280903,0.07312058,0.21186379,0.05172754,0.057023875,0.0829863,0.053181436,28
0.061686832,0.10447902,0.06530529,0.06892375,0.061372183,0.09378097,0.06672121,0.083397575,0.081195034,0.09551154,0.08858927,0.06451867,0.06451867,29
0.06023336,0.09556475,0.049427535,0.08439469,0.08427328,0.19257434,0.05112733,0.06023336,0.060111947,0.071524836,0.07116059,0.07067494,0.048699055,30
0.057114784,0.04748378,0.030361991,0.15459225,0.035907116,0.04991585,0.040965825,0.042814203,0.2725964,0.08396486,0.116554625,0.037171792,0.030556556,31
0.090441264,0.22400522,0.051792067,0.037912518,0.056382988,0.08200677,0.037378687,0.07325198,0.14297001,0.049549986,0.05937243,0.041969616,0.052966487,32
0.0017295253,0.0014428636,0.0021117409,0.0013473098,0.0018250791,0.0016339713,0.0012517559,0.003258387,0.9781946,0.001920633,0.0018250791,0.0011562019,0.0023028485,33
0.032001313,0.028726876,0.028349057,0.02683778,0.027467478,0.63752,0.033386648,0.039431762,0.042580258,0.028349057,0.020918606,0.023689283,0.030741913,34
0.06335057,0.054546792,0.045009356,0.07044251,0.074844405,0.14918749,0.1117714,0.071298435,0.06286147,0.051000822,0.08707189,0.085237764,0.07337711,35
0.05676374,0.043922514,0.044474825,0.04889331,0.05483065,0.17992903,0.21638153,0.061872613,0.08313657,0.062701076,0.038537484,0.063667625,0.044889055,36
0.010173549,0.011641431,0.009044409,0.009947721,0.010625205,0.8788208,0.009383151,0.006560302,0.010060634,0.01988415,0.009383151,0.008366926,0.006108646,37
0.0151552325,0.013982062,0.019954568,0.013662106,0.013128846,0.8429871,0.010995809,0.008756119,0.011422416,0.015048581,0.009289378,0.012915542,0.012702239,38
0.029513422,0.047602642,0.025421813,0.043511033,0.040603835,0.03565084,0.022837639,0.02369903,0.0267139,0.027036922,0.02229927,0.62850344,0.026606226,39
0.0041908813,0.94413316,0.0025354396,0.0048007807,0.0068047363,0.010551262,0.003319596,0.003842367,0.0032324675,0.0058463225,0.003145339,0.0039294953,0.0036681101,40
0.0155994315,0.49268445,0.020150475,0.03419093,0.043002527,0.042712037,0.026734965,0.19919051,0.026541304,0.015986754,0.01821386,0.041162744,0.023830043,41
0.0030213755,0.9634611,0.0024566324,0.0026448802,0.0036802425,0.002268385,0.003303747,0.0042449855,0.0031154994,0.0017036417,0.00386849,0.0030213755,0.003209623,42
0.009388605,0.8670984,0.011066905,0.007907753,0.014620952,0.011165628,0.009783499,0.009684776,0.010968181,0.013337546,0.012251587,0.010770734,0.011955417,43
